"","species","year","spfact","mean","sd","lci95","med","uci95","lci","lqrt","uqrt","uci","year_i","firstyear","lastyear","sci_name","sort","Breeding.Biome","Winter.Biome","Family","bird.group","Migrate","AI","native","popest","popestlci","popestuci","year_est1","year_est2","Pop.source","Tr_source","popse","spfactor","g1","g2","famfact","famfactn","birdgroupfact","birdgroupfactn","migratefact","migratefactn","aifact","aifactn","nativefact","nativefactn","rescindex","rescindex.raw","spsort"
"12289","House Sparrow",1970,257,407852769.4026,25804953.6933454,358202463.789084,407.312778053377,459360060.491547,358.202463789084,390.161132389822,425.399979200119,459.360060491547,1,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,407.8527694026,407.8527694026,"House Sparrow"
"12290","House Sparrow",1971,257,397696797.647999,25302785.3309547,348841408.25338,397.260960429378,448181008.630611,348.84140825338,380.319963496103,414.483986123206,448.181008630611,2,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,395.13981458862,379.545772132629,"House Sparrow"
"12291","House Sparrow",1972,257,387542485.633729,24439710.0001688,341291177.659311,386.993636304937,435453365.33666,341.291177659311,370.752949103986,404.184409780794,435.45336533666,3,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,382.772281636272,379.968925885161,"House Sparrow"
"12292","House Sparrow",1973,257,376976021.436877,23959051.0039216,330687182.754584,376.961885954515,424938440.84761,330.687182754584,360.705104809595,392.836448246883,424.93844084761,4,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,370.879702699655,358.068084100549,"House Sparrow"
"12293","House Sparrow",1974,257,366115086.505934,23456530.5156904,322102136.898571,365.718990543193,413100909.681255,322.102136898571,349.869020203667,381.871413706538,413.100909681255,5,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,359.377119793219,349.049841095011,"House Sparrow"
"12294","House Sparrow",1975,257,354654919.151487,22933702.9217768,310664545.517133,354.335929867551,400233592.810605,310.664545517133,339.097221204029,369.901167419929,400.233592810605,6,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,348.373498006662,333.175575367442,"House Sparrow"
"12295","House Sparrow",1976,257,342079984.68886,22099039.5923349,300417117.71588,341.644686465369,386327647.787987,300.41711771588,326.783839650385,356.913929908677,386.327647787987,7,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,337.564684828093,329.71611367418,"House Sparrow"
"12296","House Sparrow",1977,257,329248543.240082,21260005.8069138,288019582.48413,329.04264354978,371432884.819807,288.01958248413,314.649418519462,343.39099997675,371.432884819807,8,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,327.126313263374,328.566502860837,"House Sparrow"
"12297","House Sparrow",1978,257,317886089.073656,20422847.1561238,279167425.369336,317.623817264236,358687900.661741,279.167425369337,303.774383170339,331.496229153545,358.687900661741,9,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,316.848008124953,305.053528039415,"House Sparrow"
"12298","House Sparrow",1979,257,307454195.195367,19771537.3235165,268893336.241509,307.007636007883,347082036.900032,268.893336241509,294.060489907281,320.741290737672,347.082036900032,10,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,306.877323769534,290.523923664726,"House Sparrow"
"12299","House Sparrow",1980,257,297675614.331744,19049206.008817,261008000.265723,297.494259539355,335113146.596252,261.008000265723,284.519147936526,310.45299356789,335.113146596252,11,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,297.222680700041,291.583957756383,"House Sparrow"
"12300","House Sparrow",1981,257,287998002.250202,18505547.5631114,252146473.747768,287.597955022865,325438590.953231,252.146473747768,275.619765366346,300.223298052009,325.438590953231,12,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,287.619753060392,294.920869586766,"House Sparrow"
"12301","House Sparrow",1982,257,278381256.671935,17823604.5789897,244347796.631033,277.931193172078,313711350.83455,244.347796631033,266.177514261028,290.323906769395,313.71135083455,13,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,278.153822939851,279.532101550372,"House Sparrow"
"12302","House Sparrow",1983,257,268878496.586484,17300774.7357579,235741343.346119,268.63414269081,303138018.878689,235.741343346119,256.860418878108,280.460202041279,303.138018878689,14,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,268.681164911961,264.608994922708,"House Sparrow"
"12303","House Sparrow",1984,257,259535158.225132,16801355.9197638,227148143.017839,259.408949834663,292751348.179557,227.148143017839,248.044182531476,270.81155999341,292.751348179557,15,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,259.230312714398,248.209306307179,"House Sparrow"
"12304","House Sparrow",1985,257,250112198.753166,16052776.5018848,219593766.513878,249.693398471513,282446796.340662,219.593766513878,239.14744746963,260.623023511457,282.446796340662,16,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,249.863555726438,242.42990249314,"House Sparrow"
"12305","House Sparrow",1986,257,240721501.420854,15577336.686534,210861809.648834,240.51565216645,272076499.157001,210.861809648834,230.10349657826,250.906490068217,272.076499157001,17,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,240.611310094476,234.678262262046,"House Sparrow"
"12306","House Sparrow",1987,257,231602118.058435,14779237.0330977,203040051.920369,231.416493636396,260956278.168306,203.040051920369,221.523998042637,241.423021218486,260.956278168306,18,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,231.33617819726,234.727357061094,"House Sparrow"
"12307","House Sparrow",1988,257,222483232.607279,14253015.3879736,195038927.721559,222.231627667522,251130987.880324,195.038927721559,212.883164554087,231.989364662277,251.130987880324,19,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,222.216937047951,231.624485293334,"House Sparrow"
"12308","House Sparrow",1989,257,213406270.860804,13722718.6506892,186960655.04567,213.18746674544,240938419.905458,186.96065504567,204.075632919492,222.485351288196,240.938419905458,20,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,213.234762150303,205.184283371147,"House Sparrow"
"12309","House Sparrow",1990,257,204553575.051847,13160539.7608417,179420062.706347,204.388655729211,230444820.770176,179.420062706347,195.602785305907,213.373738811403,230.444820770176,21,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,204.384742684849,203.678077953934,"House Sparrow"
"12310","House Sparrow",1991,257,195838317.162983,12665608.2068395,171019532.951786,195.607468683354,221228826.580417,171.019532951786,187.264682317679,204.407853134353,221.228826580417,22,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,195.741748643655,191.275573350416,"House Sparrow"
"12311","House Sparrow",1992,257,187404671.206788,12013798.4552611,164414721.165642,187.174167366716,211121538.068686,164.414721165642,179.31330527269,195.401690561381,211.121538068686,23,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,187.270005891833,187.122267503162,"House Sparrow"
"12312","House Sparrow",1993,257,179373081.349994,11538360.947342,157033517.743132,179.271828109979,202251620.748507,157.033517743132,171.52527989982,187.113883219079,202.251620748507,24,1970,2017,"Passer domesticus",1668,"Introduced","Introduced","Passeridae","other","Introduced","other","Introduced",92842101,83703006,104203385,2006,2015,"PIF0615","BBS7017",5229688.52040816,"House Sparrow",3,9,"Passeridae",40,"other",2,"Introduced",1,"other",2,"Introduced",1,179.293523983957,172.364499096687,"House Sparrow"
