species,sci_name,mass,trophic_niche1,trophic_niche2
Abert's Towhee,Melozone aberti,45.9,Invertivore,Generalist
Acadian Flycatcher,Empidonax virescens,12.6,Invertivore,Insessorial
Acorn Woodpecker,Melanerpes formicivorus,79.6,Granivore,Insessorial
Alder Flycatcher,Empidonax alnorum,12.7,Invertivore,Insessorial
Allen's Hummingbird,Selasphorus sasin,3.4,Nectarivore,Aerial
American Avocet,Recurvirostra americana,304.5,Aquatic predator,Terrestrial
American Bittern,Botaurus lentiginosus,706,Aquatic predator,Terrestrial
American Black Duck,Anas rubripes,1241,Herbivore aquatic,Aquatic
American Coot,Fulica americana,636.7,Herbivore aquatic,Aquatic
American Crow,Corvus brachyrhynchos,448.8,Omnivore,Terrestrial
American Dipper,Cinclus mexicanus,56.7,Aquatic predator,Generalist
American Golden-Plover,Pluvialis dominica,151.5,Invertivore,Terrestrial
American Goldfinch,Spinus tristis,12.8,Granivore,Insessorial
American Kestrel,Falco sparverius,114.6,Omnivore,Insessorial
American Oystercatcher,Haematopus palliatus,601.5,Aquatic predator,Terrestrial
American Pipit,Anthus rubescens,20.7,Invertivore,Terrestrial
American Redstart,Setophaga ruticilla,8.2,Invertivore,Insessorial
American Robin,Turdus migratorius,78.5,Invertivore,Generalist
American Three-toed Woodpecker,Picoides dorsalis,65.5,Invertivore,Insessorial
American Tree Sparrow,Spizelloides arborea,17.8,Omnivore,Terrestrial
American White Pelican,Pelecanus erythrorhynchos,5608.5,Aquatic predator,Aquatic
American Wigeon,Mareca americana,754.6,Omnivore,Terrestrial
American Woodcock,Scolopax minor,196.3,Invertivore,Terrestrial
Ancient Murrelet,Synthliboramphus antiquus,217.7,Aquatic predator,Aquatic
Anhinga,Anhinga anhinga,1235,Aquatic predator,Aquatic
Anna's Hummingbird,Calypte anna,4.2,Nectarivore,Aerial
Arctic Tern,Sterna paradisaea,110,Aquatic predator,Aerial
Arctic Warbler,Phylloscopus borealis,10.9,Invertivore,Insessorial
Ash-throated Flycatcher,Myiarchus cinerascens,28.2,Invertivore,Insessorial
Atlantic Puffin,Fratercula arctica,593,Aquatic predator,Aquatic
Bachman's Sparrow,Peucaea aestivalis,19.6,Granivore,Terrestrial
Baird's Sandpiper,Calidris bairdii,41,Aquatic predator,Terrestrial
Baird's Sparrow,Centronyx bairdii,18.1,Granivore,Generalist
Bald Eagle,Haliaeetus leucocephalus,4700.6,Omnivore,Generalist
Baltimore Oriole,Icterus galbula,32.8,Invertivore,Insessorial
Band-tailed Pigeon,Patagioenas fasciata,366.3,Granivore,Terrestrial
Bank Swallow,Riparia riparia,12.7,Invertivore,Aerial
Barn Owl,Tyto alba,403.3,Vertivore,Insessorial
