year,mean_Arctic_Tundra,upper97p5_Arctic_Tundra,lower2p5_Arctic_Tundra,mean_Aridlands,upper97p5_Aridlands,lower2p5_Aridlands,mean_Boreal_Forest,upper97p5_Boreal_Forest,lower2p5_Boreal_Forest,mean_Coasts,upper97p5_Coasts,lower2p5_Coasts,mean_Eastern_Forest,upper97p5_Eastern_Forest,lower2p5_Eastern_Forest,mean_Forest_Generalist,upper97p5_Forest_Generalist,lower2p5_Forest_Generalist,mean_Grassland,upper97p5_Grassland,lower2p5_Grassland,mean_Habitat_Generalist,upper97p5_Habitat_Generalist,lower2p5_Habitat_Generalist,mean_Introduced,upper97p5_Introduced,lower2p5_Introduced,mean_Western_Forest,upper97p5_Western_Forest,lower2p5_Western_Forest,mean_Wetland,upper97p5_Wetland,lower2p5_Wetland
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,-0.005498435516286482,0.050036069961886476,-0.060788916725131203,-0.0028207875547474615,0.03180863020030511,-0.03520026814991328,-0.003892883602800379,0.03593545163660283,-0.0438675155133601,6.107819728793373e-4,0.1564387592687273,-0.12548075437651451,-0.00713324071203425,0.005281847395163686,-0.018887375700020748,0.0015273925483649808,0.018305979331312727,-0.01639433671811341,-0.015381333522367147,0.009580588738500984,-0.039665589643845034,-0.007340776928441484,0.008626568614623631,-0.0229835791457218,-0.022098615881867345,0.030939316065264455,-0.07311943901507001,-0.003071742715657244,0.02036458220693671,-0.025810508482642547,-0.004080186628998339,0.01933649768755208,-0.0281886217899443
1971,-0.01430548349245131,0.044663404651127614,-0.07301548631032106,-0.003888446844551585,0.029687756046964386,-0.0367155862161852,-0.007857617625761315,0.030111128262167552,-0.044730270277497985,0.0016987034341211515,0.15270926136355834,-0.13053654347252786,-0.014505111616786137,-0.0030021142793115185,-0.026325048750971303,0.001652597927935151,0.018606225138333654,-0.0158392590521913,-0.030775642075287046,-0.007545886124591061,-0.054580270164876876,-0.01484674958226151,0.00102171162182918,-0.030596625723093962,-0.04334276565685735,0.004217652514822312,-0.09381067987401981,-0.006503336831987783,0.01608585506959548,-0.031448629174357756,-0.008004921857152292,0.01427241258787304,-0.0315360930726698
1972,-0.02010279277351923,0.029193151015959984,-0.07612014748254636,-0.005806527112853455,0.027396190769988227,-0.03911294034247326,-0.011781694650281893,0.0263972733383957,-0.04807704028868931,5.674940812356866e-4,0.14191187850194997,-0.1285476069981597,-0.022685628070007846,-0.010738408486933415,-0.03436703691713028,0.0022120971626262698,0.01981520749868282,-0.016305528269954905,-0.04726102865334536,-0.02329235894110826,-0.0698772525193978,-0.022488882563782786,-0.007056074127401724,-0.03743958052228802,-0.06627477594528097,-0.02143818478647397,-0.11326268668220907,-0.010831522016869877,0.010306453317665554,-0.032738960602336054,-0.010599318848193096,0.01394120263354326,-0.03393718977536753
1973,-0.027534353595298322,0.02400774865577171,-0.07869443134722698,-0.008029030207296173,0.024839701192582275,-0.040574662954582896,-0.01594475316114663,0.02389448581377751,-0.05397006600178278,0.004073284684538603,0.14108214112027961,-0.12466590256797072,-0.030972986368201116,-0.018965592061303438,-0.042168897660653015,6.137191268784647e-4,0.019729718494350124,-0.018807852714764817,-0.06465274052780623,-0.04027993538795427,-0.0894272975560716,-0.031973300981255504,-0.015275899452519281,-0.04841882347027138,-0.08776140436642899,-0.040114271473256746,-0.13494466595953392,-0.01566476956906615,0.006149366586368998,-0.03701636004085185,-0.013146341673034523,0.01333173109759489,-0.03866795624871777
1974,-0.03536540085673201,0.027174180069972964,-0.09262453970969664,-0.012170929318909618,0.02133035209700007,-0.04457996140914633,-0.021913988985845845,0.020644389448097877,-0.06567600897967496,2.8245322483821944e-4,0.13434077940293165,-0.12760798571890997,-0.041617369440682395,-0.03035573481782816,-0.0528202319644121,-0.0055622091605666,0.014655734554312572,-0.026273458032358143,-0.08410747284799336,-0.058159034986807634,-0.10988804652772644,-0.043285466472830825,-0.027037765979760375,-0.059500665182316115,-0.11110054994695884,-0.064068597703831,-0.15627262671947106,-0.022928007112321458,0.0015525414639758761,-0.0475330881647531,-0.014997889117936425,0.011829354879403509,-0.04141410583979965
1975,-0.0426581465022966,0.018554148361108247,-0.10085223068455251,-0.016978329276024495,0.01619939983345775,-0.049651362509647745,-0.029925592869091022,0.016475058115391628,-0.07440096094281934,0.0031207290355741435,0.1364274520931077,-0.11498288502951048,-0.052867071872551685,-0.040109488115189884,-0.065408086471338,-0.013124865887443549,0.008894511091973811,-0.0356188722567512,-0.1041315624200253,-0.07804391635949215,-0.13195921420580403,-0.055357764957037814,-0.03810270219296863,-0.07281517252367486,-0.13610986759258958,-0.0939000023697949,-0.17838172893428417,-0.03264560756221868,-0.00407268810605621,-0.05885689971471475,-0.019906869482091083,0.008529319493886911,-0.048278609316337984
1976,-0.04666436297273935,0.026181027727380624,-0.11542752768257936,-0.024589487465107696,0.011093647291817055,-0.062307312021050554,-0.03980378304484078,0.01613034363427368,-0.09144497459806733,0.010057232574013586,0.14800211817065279,-0.12326310169961052,-0.06345176285552045,-0.05143745556017165,-0.07588941591168474,-0.021761009994088698,-0.0010748422635019628,-0.04557646430416118,-0.12428477255469306,-0.09724714738108109,-0.15097007451163214,-0.06813711656115196,-0.04979064807018918,-0.08490500507456267,-0.16171619063597664,-0.11677792997186376,-0.20386454748943106,-0.042816728247120905,-0.012307814668373718,-0.0734425086668623,-0.025666435390038655,0.006625133700502328,-0.05750232231884689
1977,-0.04954696737011155,0.028927722944013023,-0.12842185168610898,-0.033637310899296446,0.005140552059709647,-0.07446327938483976,-0.05132601527734115,0.0057134626728641,-0.10860914463306925,0.012060176615524165,0.15009890738073617,-0.12045312740560421,-0.07349906125969341,-0.060434710631995125,-0.08612207048572473,-0.02949734591623332,-0.005570742109566318,-0.05203036205633016,-0.14300636875962613,-0.11763198449480561,-0.16832663097498735,-0.08131283884549678,-0.06220452638347085,-0.09896821519520471,-0.1847377633612941,-0.14164330596053953,-0.22602773041400548,-0.05504660237797787,-0.0260814893156307,-0.08366780320624856,-0.034389470993616444,-5.579449639367962e-4,-0.06496732865453292
1978,-0.05563960445625804,0.036465485782645635,-0.13683448602919857,-0.04488755507130304,-0.005154241012387484,-0.08238409247961331,-0.06559883824654633,-0.00609235084962767,-0.13014902635562975,0.01831506493234425,0.16361654377241241,-0.11983471602092588,-0.0828793750574327,-0.06963514127583392,-0.0949727703618084,-0.03754077495625707,-0.012790420935670621,-0.06061978000240742,-0.16153980694711323,-0.13461450836990185,-0.18587197843491898,-0.09311193417258579,-0.07546593374673038,-0.11062619323778378,-0.20651345921827946,-0.1653256728000263,-0.24481886725293578,-0.06685816059918104,-0.03657042398863375,-0.09798921666987181,-0.04485525297098969,-0.009739266219368825,-0.07800499772055058
