year,mean_Arctic_Tundra,upper97p5_Arctic_Tundra,lower2p5_Arctic_Tundra,mean_Aridlands,upper97p5_Aridlands,lower2p5_Aridlands,mean_Boreal_Forest,upper97p5_Boreal_Forest,lower2p5_Boreal_Forest,mean_Coasts,upper97p5_Coasts,lower2p5_Coasts,mean_Eastern_Forest,upper97p5_Eastern_Forest,lower2p5_Eastern_Forest,mean_Forest_Generalist,upper97p5_Forest_Generalist,lower2p5_Forest_Generalist,mean_Grassland,upper97p5_Grassland,lower2p5_Grassland,mean_Habitat_Generalist,upper97p5_Habitat_Generalist,lower2p5_Habitat_Generalist,mean_Introduced,upper97p5_Introduced,lower2p5_Introduced,mean_Western_Forest,upper97p5_Western_Forest,lower2p5_Western_Forest,mean_Wetland,upper97p5_Wetland,lower2p5_Wetland
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,-0.5982237133943917,6.179072663216157,-6.976643325196078,-0.22477288542956286,2.7068051539136966,-3.342563526356873,-0.3540479967736235,3.1514079629938196,-4.171092472762306,0.11017332020522098,15.827632541800032,-12.642162903563117,-0.77811884752956,0.5566676499194305,-2.0505729041870615,0.1626695324298533,2.0258896287502686,-1.7961434264220195,-1.541635926948488,1.2412311153937254,-4.4832952347255715,-0.5970460256872085,0.9860890395331069,-2.122538249111483,-1.6204402726671712,3.7175574427102362,-7.0653741644567205,-0.325377806863972,2.243851944690321,-2.8674970774481885,-0.37978949301015047,1.9604768028188044,-2.622993117713731
1972,-1.5410711796987884,5.654405452869109,-8.347900923523257,-0.29391928945520684,2.6667874721684095,-3.0960727311881775,-0.7458298385690566,2.7970456596573827,-4.1986811368167745,0.24104059967663724,15.194512920545383,-12.947817388777949,-1.602813259900021,-0.29240528979301444,-2.925242515174015,0.17823816168551074,2.0419888254056455,-1.6530099625108867,-3.1215343700888813,-0.46782775106083585,-5.710753881712456,-1.2574891754601043,0.35585597709932276,-2.798303331320231,-3.3560934683850583,2.2405722603604983,-8.57731206189216,-0.7470724871620769,1.9215666212808764,-3.6628081196399642,-0.7463598055207891,1.5692301835340101,-3.046142282161336
1973,-2.1617208323840433,4.100217413156079,-7.934911470520021,-0.40565029439652195,2.6497880134144713,-3.3993114585343616,-1.103737868223748,2.511736853648931,-4.497790283189034,0.11938212579941046,14.972858323429772,-13.055170591187848,-2.515931684812628,-1.2007125603474529,-3.856620794809095,0.2897914342333817,2.070540043858323,-1.6143745431550762,-4.795372585197027,-2.0963054204945335,-7.174366841410586,-1.8416730620457724,-0.38739663658480455,-3.361406450445653,-5.031559065870429,0.2755344219820626,-9.734823102920409,-1.173309399778519,1.3018336052862705,-3.954432349182492,-1.0204013880852751,1.5244414793019476,-3.399409931840741
1974,-3.0034545242607535,2.9548381784243047,-9.062135929706178,-0.6360847113257562,2.437351741667829,-3.6886897907004723,-1.4700155903665975,2.4125318450192026,-5.047559659067719,0.4760370687938658,15.089019530578918,-13.406613320298156,-3.481896427458269,-2.157614957435436,-4.839921667578161,0.27015942902079526,2.3184015204672006,-1.6100226335577166,-6.578721224658491,-4.0183000507942985,-9.074425943684654,-2.4832285537953,-0.8803113757724071,-4.010350321245614,-6.436379245340152,-0.9509287501245235,-11.19958661303816,-1.655971173814875,1.3409284204734078,-4.571127869920459,-1.3338329660165422,1.4600025229079656,-3.9081552764569456
1975,-3.939204357743628,3.1517069468553927,-10.36050078945044,-0.9928727912258094,2.4878858079786474,-4.310258476751315,-2.155156362057127,1.8368304985510424,-5.973003580579767,0.1137795222545578,14.016683548293676,-13.067065781275598,-4.816767440183664,-3.2354343194187116,-6.3499719248990845,0.051985887089505835,2.0705516580952996,-2.0463102326567233,-8.601601104027226,-6.112263572037188,-11.146775700101587,-3.1538359643181555,-1.59953189213109,-4.645462493344383,-7.9858938484041175,-2.662027373907307,-12.525955975356991,-2.462493028396231,1.2438956911051164,-6.32818543598338,-1.6564863946316788,1.1561969699705137,-4.610318152554696
1976,-4.208861657848917,2.7374206418567093,-11.01510087438575,-1.3852984338138725,2.5835819636841073,-4.929609911789412,-2.964720493975222,1.4966859962774062,-6.993315823625645,0.45879704947722133,15.271052072640346,-11.675629241192777,-6.323140439246449,-4.679083503922711,-8.138514545534045,-0.18087646713671252,1.9996177156382682,-2.3231240467877847,-10.576803999150876,-8.085086035480076,-13.152701295721753,-3.812712299047067,-2.215616100934462,-5.489307925757933,-9.214192854861384,-3.936755624066458,-14.01909868858172,-3.5103327408272427,0.7566032701901099,-7.570102987609449,-2.373076632993211,1.0974590412121408,-6.0116841994459325
1977,-4.133020928561177,3.6223751210730635,-11.671601161865375,-2.0161576884682666,2.4776332573047615,-6.1972001018420375,-4.0540278236056055,0.8075005313461472,-8.464326072837387,1.1912909388822153,15.775439632628164,-12.71933329839564,-7.845407577078508,-6.1221308153453515,-9.788800788484377,-0.34513253755802487,1.7916218705254847,-2.54871262135081,-12.561773975171782,-9.945218699244526,-15.234378198487468,-4.502632090241756,-2.969922107195814,-6.115374741848782,-10.815919370099936,-5.4820614892811586,-16.08108244253627,-4.719062478578822,0.5406723693261036,-9.875063039181923,-3.3292467173791658,0.8720448963239472,-7.003685406472101
1978,-4.077018869207959,4.524324798414206,-12.40816806625208,-2.6690588828140056,2.429425931159319,-7.735055260428958,-5.241202266800364,-0.1424999017842269,-10.24767935613509,1.347347722752194,15.419388478740606,-12.391525645046462,-9.351287953747896,-7.511585490460464,-11.351091701405624,-0.38884518132255574,1.862147148852926,-2.6840783686392617,-14.375684114837581,-11.86699348284451,-16.766769466911665,-5.242254173438039,-3.6835687950271896,-6.777606690172377,-12.38181812996555,-7.31177657286816,-17.228196621250593,-6.024243174787839,-0.6615128069330533,-11.441097439081151,-4.627494610867005,-0.3913192855820167,-8.712584454512767
1979,-3.914180299478614,5.653374706290311,-12.28533570682279,-3.6972486959773745,1.9287102590176968,-9.11250296102048,-6.663415458106102,-0.628584721044948,-11.874051344014475,1.9367768760528208,15.96837882919589,-12.191760254870246,-10.739487729056474,-8.794237016952955,-12.653771321050193,-0.4950655102753075,1.9571430193199,-2.8940593261888043,-16.09292345803086,-13.5469407584679,-18.65555508021586,-5.82778577186114,-4.182448956776277,-7.3910498054232034,-13.997173416864658,-8.939610039884842,-18.738583878526264,-7.3909898291510725,-1.8436551686630767,-12.541751009492955,-6.154266606160967,-1.5263806522732095,-10.28119565943376
