year,mean_Aquatic_predator,upper97p5_Aquatic_predator,lower2p5_Aquatic_predator,mean_Frugivore,upper97p5_Frugivore,lower2p5_Frugivore,mean_Granivore,upper97p5_Granivore,lower2p5_Granivore,mean_Herbivore_aquatic,upper97p5_Herbivore_aquatic,lower2p5_Herbivore_aquatic,mean_Herbivore_terrestrial,upper97p5_Herbivore_terrestrial,lower2p5_Herbivore_terrestrial,mean_Invertivore,upper97p5_Invertivore,lower2p5_Invertivore,mean_Nectarivore,upper97p5_Nectarivore,lower2p5_Nectarivore,mean_Omnivore,upper97p5_Omnivore,lower2p5_Omnivore,mean_Scavenger,upper97p5_Scavenger,lower2p5_Scavenger,mean_Vertivore,upper97p5_Vertivore,lower2p5_Vertivore
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,-0.004054619001118254,0.04920803006956298,-0.051064731293429144,0.003761072012264055,0.047947702135344494,-0.04230317327675859,-0.008750422574012706,0.011893497874356118,-0.028178791819484683,-0.003730441018019226,0.028436436481181104,-0.033509513020986925,-0.002593415709559066,0.027763510349280818,-0.03276943270457633,-0.004514998122899683,0.009319750772139423,-0.016635205547992027,-0.0021074194788338607,0.03156310714399879,-0.03462008835209429,-0.007239776099665196,0.006057304362306892,-0.020333828503023343,0.0012532816772836686,0.053214695964870495,-0.04663553056725844,-0.002406327348587589,0.015937511707981633,-0.02089487077917851
1971,-0.008379128745321762,0.04573216122002588,-0.05943757841745223,0.005171282795595866,0.04779161947736843,-0.03556959351361744,-0.017936035359562785,0.0013480203058298112,-0.038317643122954714,-0.00725709312425582,0.024814127433836708,-0.038299192421786254,-0.006970923885120106,0.025748216414995362,-0.037232567156533,-0.009214314577544513,0.003591219571993376,-0.021706177805504434,-0.003616029787451569,0.029108748555011887,-0.0346346641917763,-0.01537255205514576,-0.0012111527115516996,-0.028845197925059796,0.004809415842395248,0.057939264791396994,-0.041996967383779116,-0.003600893828981322,0.015264501096089456,-0.02161511842799635
1972,-0.011631854621637072,0.04229701939232422,-0.06305295187234483,0.009092574675612086,0.05625304739569725,-0.0348335397830819,-0.02768635137445996,-0.0085762222467759,-0.04717834224999795,-0.011155566896751345,0.024309929037451328,-0.04416862538143018,-0.009251803652826407,0.021379054300130207,-0.04127214089054543,-0.013764738768414109,-0.001653578808775702,-0.026474789599253312,-0.006695459606862575,0.025349970426537194,-0.037045782515091163,-0.0240222464013915,-0.011588463563864226,-0.03749638779879838,0.015809202996645455,0.0771210059852021,-0.039265234820594186,-0.0041221021361274035,0.015098001423303309,-0.02344879680882117
1973,-0.015085062974413477,0.035277732105378545,-0.060044642214711175,0.013455900378277041,0.06656326670598811,-0.0427758219111104,-0.03829019963573499,-0.018441852533734426,-0.05994583669068587,-0.01738799827581705,0.021252530079080456,-0.05659181662971957,-0.011543427171184395,0.02213992428301048,-0.046906493773439806,-0.019535628761781165,-0.006048662575039443,-0.03272242818948745,-0.009596725997411348,0.025329512538518895,-0.042551301127660035,-0.03373850419460345,-0.01852764511409355,-0.04767969012813611,0.03915126372330602,0.10691934499292999,-0.02338205471527055,-0.001853444378948188,0.020806874625731497,-0.024079200510187637
1974,-0.021190822794341257,0.027491786043045918,-0.07249460133178842,0.020045626311476328,0.08558736695595437,-0.04305287809104463,-0.05251164482692272,-0.030269475052474792,-0.07727234130186844,-0.024488290232503873,0.018701798791312285,-0.07044553596375336,-0.015160818745994065,0.03208616831562683,-0.057095706676677294,-0.026869301961873204,-0.012297191644109584,-0.042626817856977195,-0.015012782545846703,0.025834313714705903,-0.05402522304613633,-0.047196620219934426,-0.029926477950544816,-0.06412618429856798,0.06900379217795694,0.1422569653632919,-0.0013951278237267495,0.003698246530110305,0.02749956683832222,-0.019917324819741622
1975,-0.025783605411713872,0.029870487196871576,-0.07260612445667913,0.03120064559382918,0.1032427957196238,-0.042780680512573666,-0.06827716305979437,-0.043090137229374825,-0.09215218086770127,-0.03726028049085861,0.017480753873869714,-0.0863047748624084,-0.016287435566217923,0.038508011162750044,-0.06563136983039908,-0.03576288982040887,-0.019320133218888258,-0.05171700495137743,-0.021592012482618328,0.01935829349447471,-0.06416676965898716,-0.06113059942891763,-0.045104303728966455,-0.07936422392551479,0.09838214865603234,0.17541137610307067,0.025313293998011632,0.009521191031298448,0.03396451253583255,-0.014766613287281904
1976,-0.030084168282580537,0.024418845883380724,-0.08351484422862987,0.04136179733988632,0.12633654518757353,-0.034026939989534544,-0.08463439627737002,-0.059212716924704534,-0.11172111080314195,-0.0503794528226329,0.007088195420933863,-0.10097684198234891,-0.01634602394248852,0.05758658932637406,-0.08721820822768878,-0.04514733506555846,-0.02740367822344425,-0.06293935936727746,-0.03184647724420209,0.013849362009666244,-0.08167907771598926,-0.07602185909401382,-0.05822026512052303,-0.09267003967776721,0.12806099712304975,0.20711183769151953,0.057108105416078025,0.014931548569923514,0.04258202384495213,-0.012468905606985325
1977,-0.0378865526442973,0.016965126113444695,-0.09474739072056793,0.04960075348053161,0.13641014178848665,-0.03124028744895202,-0.09948718261948786,-0.07215314500484538,-0.1274828977064144,-0.0680598026407283,-0.007605754847615276,-0.12672529322031323,-0.015263300839763794,0.06710827760125859,-0.09501244311970858,-0.05514162558317104,-0.035676145964110395,-0.07520104674169681,-0.046356744313610365,0.004218621408514478,-0.09871552548688567,-0.08993084504731441,-0.07228481923011454,-0.10687375562435897,0.1532824664592609,0.22877304847510205,0.08174386730177341,0.020748788280021913,0.048852126702476406,-0.0063225790930926395
1978,-0.04503692342868204,0.008212564034730363,-0.09948018977558604,0.06144287253287195,0.14424334966553642,-0.023017771980112012,-0.11467278089311728,-0.08614560269509797,-0.14313294494556683,-0.08977926765893018,-0.025027695191940147,-0.152251103881077,-0.01549682671382202,0.08445830336001081,-0.10858992222410868,-0.06549446729565911,-0.04425640103347739,-0.08706116705874722,-0.057128061802850016,-0.00342038487564833,-0.11234263014431478,-0.10399113246232938,-0.08529980191664233,-0.12207151407443073,0.18085370121880118,0.2634684549041164,0.10228003699364696,0.025612340547017,0.05802110496595447,-0.005536213606296192
