year,mean_bm_introduced,upper_97p5_introduced,lower_2p5_introduced,mean_bm_native,upper_97p5_native,lower_2p5_native
1970,0,0,0,0,0,0
1971,-1.6204402726671712,3.7175574427102362,-7.0653741644567205,-0.4871571441082873,1.0915508619585492,-1.879459294266078
1972,-3.3560934683850583,2.2405722603604983,-8.57731206189216,-1.0383572361978024,0.47122721191717004,-2.525827625034847
1973,-5.031559065870429,0.2755344219820626,-9.734823102920409,-1.538735748578837,-0.08592145096007504,-2.9894921342648786
1974,-6.436379245340152,-0.9509287501245235,-11.19958661303816,-2.0936611647865218,-0.6201373155958009,-3.484657319068856
1975,-7.9858938484041175,-2.662027373907307,-12.525955975356991,-2.8208339865182963,-1.281956475648693,-4.32081856700876
1976,-9.214192854861384,-3.936755624066458,-14.01909868858172,-3.534558757649902,-2.039569891852889,-5.049688001642088
1977,-10.815919370099936,-5.4820614892811586,-16.08108244253627,-4.253331980409899,-2.593294926002889,-5.8275950112257595
1978,-12.38181812996555,-7.31177657286816,-17.228196621250593,-5.056279076448434,-3.2271182702872423,-6.846529431232545
1979,-13.997173416864658,-8.939610039884842,-18.738583878526264,-5.842271901330032,-3.965983965999438,-7.59256338187221
1980,-15.368553713373904,-10.38586556276729,-19.97759905549685,-6.58132539099965,-4.74295085583487,-8.418102608433328
1981,-16.67514085453927,-11.909581735448787,-21.23421570815923,-7.35330233161749,-5.260623298382367,-9.216007083106518
1982,-17.95258738818173,-12.793690908493629,-22.627292638438945,-7.982568003381704,-5.80689840892756,-9.838743367039044
1983,-19.310253592761537,-14.626435147862475,-23.658211620889027,-8.674706103926535,-6.334385706547444,-10.911397902253288
1984,-20.354071820710207,-15.469939699823483,-24.939329670453446,-9.251896138202248,-6.826487885834789,-11.695639364273209
1985,-21.619337369942535,-16.57404961952285,-26.187993619792906,-9.783845702281056,-7.1670301736178095,-12.40671742983649
1986,-22.781560761263155,-17.90745588661307,-27.453143590729535,-10.225766963080831,-7.345224930026731,-12.845493757964894
1987,-23.931613759810805,-19.129690967543283,-28.24240832374041,-10.686752784836221,-7.431766689286314,-13.491628281684706
1988,-25.095518872453678,-20.39319712316582,-29.520298472412446,-10.969775646747753,-7.065366571828763,-13.79876360547604
1989,-26.0369531371734,-21.260335473408134,-30.433111156562948,-11.233162602519814,-7.849666486249262,-14.269606295517
1990,-27.133221573700524,-22.363025624845122,-31.260495944354695,-11.103672434042213,-7.360321159616129,-14.35572399992102
1991,-28.008898039015115,-23.004395164976913,-32.059347212165186,-11.083295207171826,-7.1375355298338254,-14.461852596849793
1992,-28.976613422652324,-24.21511123855254,-33.635579035169606,-10.680926716872392,-6.792036816846005,-14.086927751141847
1993,-29.798748106131878,-25.201060410699522,-34.09070054306275,-10.143199388860454,-6.023928739211064,-13.702997955427216
1994,-30.505301476609404,-26.070004633785388,-34.9498413145722,-9.351255399604748,-4.583808793996549,-12.733105893661246
1995,-31.381253000109385,-26.610496431765885,-35.4360570780914,-8.185182486987701,-2.4941263038700074,-12.082773043656035
1996,-32.13240192900576,-27.676414507280217,-36.37809467237044,-7.280180365802221,-2.223559001343743,-11.40057097589713
1997,-32.67737858089724,-27.95103477133063,-37.2903116003537,-6.0148323748663115,-0.49749090021399156,-10.471097162740067
1998,-33.143771875744186,-28.53642797037331,-37.25819409527324,-5.064136263151663,0.4388956324360449,-9.540903644704139
1999,-33.70717324469941,-28.877876261767078,-38.25680818056206,-4.029749168529751,1.7223060698031467,-8.812721250061657
2000,-34.09068376444977,-29.931291320415298,-38.196220203580665,-3.104641244788687,2.7737085063256393,-8.29617165233888
2001,-34.37528226028987,-29.82979623665412,-38.523222564370094,-2.2891884663557396,4.943529325600261,-7.45397326556255
2002,-34.62594534220029,-29.759423416580944,-38.7156745569813,-1.6520976477725857,5.795791957007163,-7.114568760309593
2003,-34.894531469283095,-29.99814905081476,-39.26871212635136,-0.7892522784162694,6.83180572614885,-6.494439408212566
2004,-35.05946774444619,-30.686173056253946,-39.337562341502775,0.069641509219771,7.246604619265657,-5.864346273410359
2005,-35.24910801591431,-30.879603674045754,-39.478359478780305,0.8834367536284244,10.224729587769803,-5.268441089091113
2006,-35.479338948275974,-30.64158213907949,-39.986164500503655,1.892730611025544,9.869872614840295,-4.4118927556139305
2007,-35.49550076913507,-30.77501511665072,-40.08047513666015,3.379976656701472,13.56548490686636,-3.049808328130403
2008,-35.699415162017495,-30.88059794160366,-39.939427176476656,4.6395702812335315,13.847464586021248,-1.8426540653847008
2009,-35.616625650075235,-30.60640029910644,-40.197369528827714,6.119597119962445,15.699973749633982,-0.6446251873870924
2010,-35.42618929775017,-30.204691749078556,-39.878067820029,7.3764309289409535,17.180344690310577,0.369140346522554
2011,-35.285622175184145,-30.333779175270394,-39.96671319604784,8.671997686336981,18.421672871721068,1.2563461605120418
2012,-35.09495659780711,-29.83501429280967,-39.724924060676905,9.97735871559263,20.421489987624792,2.8941761318695423
2013,-34.647126900031694,-28.556242179740494,-39.82961417115453,10.45614399236911,19.528075212351332,3.462449315185294
2014,-34.047588538861866,-27.28992414054534,-39.73277590357549,11.290652199021613,19.405908118247556,4.494102885377368
2015,-33.00845043601492,-25.2743522119954,-39.42848316959786,12.646274840441214,22.585941210963316,5.511659558507855
2016,-32.368313098979876,-23.599838463546835,-39.24947935055462,14.570024412743736,25.939181448971272,6.3214111922510465
2017,-30.84836572645328,-20.179067693581224,-37.85293675350344,16.826155135643567,29.699106719887478,8.187623335826405
