year,mean_abd,upper_97p5_abd,lower_2p5_abd,mean_bm,upper_97p5_bm,lower_2p5_bm
1970,0,0,0,0,0,0
1971,-0.6063068603932092,0.35470834935603146,-1.5585784088257386,-0.6057147898135502,0.8344390257539529,-2.0720602581016645
1972,-1.2546908729877704,-0.2979702547914863,-2.21957800328838,-1.278460085907356,0.19777193145117475,-2.7352139389477172
1973,-1.9200555134152955,-1.0356690451360644,-2.881785806824539,-1.899475997905985,-0.490011135770692,-3.3280308785130512
1974,-2.690694377782313,-1.683477876175287,-3.7239780476999234,-2.5417681908970846,-1.0171679100048097,-3.936764004937264
1975,-3.7196061205201514,-2.655143792255214,-4.749908868050093,-3.3528278483299467,-1.9586031052227544,-4.755776825711625
1976,-4.864740139599578,-3.791730108527186,-5.98356415263657,-4.119573288529144,-2.626763809165335,-5.554503918674004
1977,-6.07585922486961,-4.905211805581366,-7.349249633861634,-4.9289049942765555,-3.2495739539520847,-6.518104456215388
1978,-7.269703779497228,-6.011629510631005,-8.540765966082494,-5.810120371476759,-4.057633147808152,-7.526938029310049
1979,-8.487034382843945,-7.211723225604288,-9.795561183697584,-6.680901939965926,-4.9381423418688755,-8.404245788741724
1980,-9.599987168998487,-8.1984667595356715,-10.93176473693762,-7.484774072361128,-5.738182912612337,-9.301315158365442
1981,-10.664048154094342,-9.258193487276964,-11.9362458342832,-8.311208968237619,-6.29554336747511,-10.16494325494258
1982,-11.71809900751475,-10.28059925993172,-13.136106351908385,-9.007249230104145,-6.912578396219987,-10.783283370729755
1983,-12.642944119744019,-11.26311369553846,-14.111877630918586,-9.767865310923204,-7.58896206130702,-11.84557760655683
1984,-13.590238833406632,-12.020629594429423,-14.996712727549948,-10.392664946068988,-8.16242305703957,-12.607566609532116
1985,-14.471129919314539,-12.794578257145732,-15.892631368704377,-10.999887366475159,-8.563907487807205,-13.439736807135956
1986,-15.304205772291759,-13.763792395073827,-16.681106329339638,-11.515747045096198,-8.842436556353398,-13.968332774010836
1987,-16.115567014657806,-14.487449158380912,-17.636444357757593,-12.047614083238715,-9.101730684608837,-14.647477631158893
1988,-16.825436471353882,-15.168427536769324,-18.371434475346355,-12.420989293317934,-8.92640196670343,-15.016670733896476
1989,-17.584818288388202,-15.933676489111493,-19.14176048592439,-12.75407403383235,-9.734581087283686,-15.529655971748696
1990,-18.2650069971386,-16.61340479594948,-19.771260277096946,-12.749949081854744,-9.440483851525382,-15.806330100518542
1991,-18.929427041044686,-17.36524872473404,-20.45507622746383,-12.821565305184444,-9.289186062662816,-15.87631881828181
1992,-19.539002561613596,-18.046333972525954,-20.86470969677773,-12.560161113497124,-9.085670364157188,-15.648356201063468
1993,-20.151027530909147,-18.75457371578879,-21.51972530517782,-12.161601601554585,-8.120957673457054,-15.519837041073215
1994,-20.80923467591477,-19.340652817398905,-22.142563776231768,-11.522892845609736,-7.3080793169198754,-14.541216225230572
1995,-21.374356971181587,-19.999703809042057,-22.784907842728273,-10.5663746723617,-5.455741440202961,-14.152169405958801
1996,-22.017982830618852,-20.56564483856318,-23.29583678891279,-9.83173333037524,-5.134243191372083,-13.508658747409287
1997,-22.543292062905554,-21.127550969227244,-23.881557429735093,-8.752448443065594,-3.607424401739396,-12.623034507988653
1998,-23.106223237459034,-21.718134501107684,-24.376186057791973,-7.947341054243289,-3.076688537607874,-12.042799111850064
1999,-23.614510418323395,-22.318914312973355,-24.938246087743238,-7.0770693427809075,-2.0098264515035096,-11.309260437719518
2000,-24.1256212320448,-22.776917669556187,-25.334840262042466,-6.286071856571736,-0.7989914408695186,-11.006688241601102
2001,-24.623465559264943,-23.2718531656169,-25.857456093047137,-5.582852135738392,0.893574452537229,-10.163627061553246
2002,-25.071343452249753,-23.76990518239503,-26.378702918673053,-5.037136224795411,1.9553561363004184,-9.938527055106713
2003,-25.476361116560778,-24.03344749064282,-26.74693277488355,-4.290662275757889,2.586654805534575,-9.448597114512184
2004,-25.84404203491459,-24.49320861720776,-27.089727404655253,-3.536904026093796,2.919454435259238,-8.843950336883555
2005,-26.227786571262524,-24.983848107152316,-27.36409593368797,-2.8270152261285544,5.62654592040765,-8.337936750800527
2006,-26.615753651207122,-25.368466929961713,-27.94647509504821,-1.9439009284628148,5.183041649617886,-7.4670034624052875
2007,-26.882101268066602,-25.5654044164481,-28.136297890996428,-0.6116725308230366,8.752164773744495,-6.286734848652012
2008,-27.184384796260357,-25.927861271606563,-28.514211003240423,0.4982369948524707,8.895733274441463,-5.230445955467589
2009,-27.450167070396457,-26.041727867745237,-28.7417482178233,1.834067787243736,10.2122854512394,-4.2186239386402855
2010,-27.701315003338788,-26.439579474273128,-28.980446232843153,2.982153117303154,11.82096756458148,-3.340518556612866
2011,-27.92173911303061,-26.671804120592164,-29.20393794920785,4.157990130110868,12.79151419038955,-2.4919184945901827
2012,-28.109939911894138,-26.76256377821001,-29.45606924517002,5.350083827247184,14.873774080741429,-1.0229906917374703
2013,-28.33071455457733,-27.00257901722785,-29.69309890044489,5.823246246150365,13.93439517421458,-0.5026014052843379
2014,-28.493595636944093,-27.0004212353075,-29.740293102525783,6.633520575612334,13.72680176296975,0.5651988687353889
2015,-28.61455761655457,-27.219942217438987,-29.915824193524376,7.95833290589908,17.007437528502713,1.5946550847395586
2016,-28.61910550793364,-27.060787934918558,-29.98615363829148,9.75051434782815,20.074064173340684,2.4224905526179072
2017,-28.65641847485761,-27.22236254028814,-30.120519905795707,11.932004873047452,23.505148793569543,4.076084253373306
