species,sci_name,mass,trophic_niche1,trophic_niche2,Breeding.Biome,start_abd,end_abd,abd_change,biomass_start,biomass_end,biomass_change
Abert's Towhee,Melozone aberti,45.9,Invertivore,Generalist,Aridlands,642859.951313923,947612.28897998,304752.33766605705,29507271.765309066,43495404.06418108,13988132.298872016
Acadian Flycatcher,Empidonax virescens,12.6,Invertivore,Insessorial,Eastern Forest,5723102.15684475,5265867.99349878,-457234.1633459702,72111087.17624384,66349936.718084626,-5761150.458159216
Acorn Woodpecker,Melanerpes formicivorus,79.6,Granivore,Insessorial,Western Forest,1876303.8827605,2391933.01375044,515629.1309899399,149353789.0677358,190397867.894535,41044078.826799214
Alder Flycatcher,Empidonax alnorum,12.7,Invertivore,Insessorial,Boreal Forest,158060836.635543,114777468.668376,-43283367.96716699,2007372625.271396,1457673852.088375,-549698773.1830208
Allen's Hummingbird,Selasphorus sasin,3.4,Nectarivore,Aerial,Aridlands,6047519.98295335,1287314.96748381,-4760205.01546954,20561567.94204139,4376870.889444954,-16184697.052596435
American Avocet,Recurvirostra americana,304.5,Aquatic predator,Terrestrial,Wetland,372945.718769163,480968.662982133,108022.94421296997,113561971.36521013,146454957.8780595,32892986.512849376
American Bittern,Botaurus lentiginosus,706,Aquatic predator,Terrestrial,Wetland,3368143.91205362,2657317.60853206,-710826.30352156,2377909601.909856,1876066231.6236343,-501843370.2862215
American Black Duck,Anas rubripes,1241,Herbivore aquatic,Aquatic,Wetland,926746.721928483,586278.801710334,-340467.92021814897,1150092681.9132473,727571992.9225246,-422520688.9907228
American Coot,Fulica americana,636.7,Herbivore aquatic,Aquatic,Wetland,4903382.43428732,5271306.49359485,367924.0593075305,3121983595.9107366,3356240844.4718413,234257248.56110477
American Crow,Corvus brachyrhynchos,448.8,Omnivore,Terrestrial,Habitat Generalist,27029469.49755,27858740.3589518,829270.8614018001,12130825910.50044,12503002673.097569,372176762.5971279
American Dipper,Cinclus mexicanus,56.7,Aquatic predator,Generalist,Wetland,179373.402733869,151578.836859663,-27794.56587420602,10170471.935010374,8594520.049942892,-1575951.8850674815
American Golden-Plover,Pluvialis dominica,151.5,Invertivore,Terrestrial,Arctic Tundra,963263.030664963,480415.975144022,-482847.0555209409,145934349.14574188,72783020.23431934,-73151328.91142254
American Goldfinch,Spinus tristis,12.8,Granivore,Insessorial,Forest Generalist,45345986.5383743,42582051.4115352,-2763935.126839094,580428627.6911911,545050258.0676507,-35378369.6235404
